,course_title,course_URL,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,course_icon,image_name
50,Java Programming and Software Engineering Fundamentals,https://www.coursera.org/specializations/java-programming,Duke University,SPECIALIZATION,4.6,Beginner,510k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d2j5ihb19pt1hq.cloudfront.net/sdp_page/s12n_logos/Duke_JavaProgrammingIntrotoSoftware_CM195522.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Java Programming and Software Engineering Fundamentals by Duke University
51,Programming for Everybody (Getting Started with Python),https://www.coursera.org/learn/python,University of Michigan,COURSE,4.8,Mixed,1.8m,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/08/33f720502a11e59e72391aa537f5c9/pythonlearn_thumbnail_1x1.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Programming for Everybody (Getting Started with Python) by University of Michigan
52,Search Engine Optimization (SEO),https://www.coursera.org/specializations/seo,"University of California, Davis",SPECIALIZATION,4.6,Beginner,180k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/6e/2fe210ba5011e5a8a509723fe94c08/seo_thumb.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,"Search Engine Optimization (SEO) by University of California, Davis"
53,Arizona State University TESOL,https://www.coursera.org/professional-certificates/arizona-state-university-tesol,Arizona State University,PROFESSIONAL CERTIFICATE,4.9,Beginner,170k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/d3/e7fcc42fd44767a6d1c6638e9d3eb1/Shane_Teaching-Course_Logo.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Arizona State University TESOL by Arizona State University
54,Web Design for Everybody: Basics of Web Development & Coding,https://www.coursera.org/specializations/web-design,University of Michigan,SPECIALIZATION,4.7,Beginner,410k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d2j5ihb19pt1hq.cloudfront.net/sdp_page/s12n_logos/webdesign.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Web Design for Everybody: Basics of Web Development & Coding by University of Michigan
55,Learn SQL Basics for Data Science,https://www.coursera.org/specializations/learn-sql-basics-data-science,"University of California, Davis",SPECIALIZATION,4.6,Beginner,250k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/1f/09b6d03b7a11e98afdfdc3ec76e998/Specialization_Nav_Build_IMAGE2_600x600.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,"Learn SQL Basics for Data Science by University of California, Davis"
56,The Bits and Bytes of Computer Networking,https://www.coursera.org/learn/computer-networking,Google,COURSE,4.7,Beginner,210k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/a4/8734d0f1ad11e7ae1dfb59d4b2b62a/Course-Logo-2.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,The Bits and Bytes of Computer Networking by Google
57,Agile Development,https://www.coursera.org/specializations/agile-development,University of Virginia,SPECIALIZATION,4.7,Beginner,130k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/49/336b90a5d211e58ea1475cfc62b42e/Cowan_Thumbnail_360_360.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Agile Development by University of Virginia
58,Entrepreneurship,https://www.coursera.org/specializations/wharton-entrepreneurship,University of Pennsylvania,SPECIALIZATION,4.8,Beginner,120k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/65/073380ba5711e58596a3d490dd4464/entrepreneurship_banner.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Entrepreneurship by University of Pennsylvania
59,AI For Everyone,https://www.coursera.org/learn/ai-for-everyone,deeplearning.ai,COURSE,4.8,Beginner,530k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/b2/65f2d3143d48b29c346332efac1118/AI4ESquareLogo.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,AI For Everyone by deeplearning.ai
60,Crash Course on Python,https://www.coursera.org/learn/python-crash-course,Google,COURSE,4.8,Beginner,210k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/a1/fd9a9b0f404af6842d49aad8cf141a/Andrew-WA-Thompson-699-1-.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Crash Course on Python by Google
